Date,Weekly_Sales
2020-01-05,10993.428306022466
2020-01-12,10358.412863450376
2020-01-19,12556.47152667143
2020-01-26,14915.858341577114
2020-02-02,11984.341368836687
2020-02-09,12533.340142338064
2020-02-16,16667.58730931553
2020-02-23,15503.229650774225
2020-03-01,13434.035073727411
2020-03-08,15802.72279608314
2020-03-15,14070.82647296344
2020-03-22,14278.088289667165
2020-03-29,15834.565687815888
2020-04-05,11592.794349394082
2020-04-12,11965.32160869001
2020-04-19,14214.004996390251
2020-04-26,13165.548005016291
2020-05-03,15604.161890230791
2020-05-10,12879.516339716183
2020-05-17,11530.849563991374
2020-05-24,16892.072119369666
2020-05-31,13066.190487521419
2020-06-07,13168.349688949533
2020-06-14,9665.463546656734
2020-06-21,10882.00642077452
2020-06-28,11630.980193599573
2020-07-05,8536.722522574746
2020-07-12,11019.680377350214
2020-07-19,8505.370105176216
2020-07-26,8579.071936168511
2020-08-02,7440.712850806237
2020-08-09,11864.232635362097
2020-08-16,7689.650323836287
2020-08-23,5206.5405302649515
2020-08-30,8626.944688286483
2020-09-06,4260.064829856423
2020-09-13,6903.936299163083
2020-09-20,2419.499052206964
2020-09-27,3605.8899833257724
2020-10-04,6651.786987867279
2020-10-11,7803.711370145712
2020-10-18,6810.6081204109705
2020-10-25,6448.460931473863
2020-11-01,6357.609254748922
2020-11-08,4347.391528506538
2020-11-15,6269.3707455808835
2020-11-22,7246.980134618383
2020-11-29,10790.049751040116
2020-12-06,9912.007815692274
2020-12-13,6281.540415352175
2020-12-20,11064.492843158252
2020-12-27,10272.313328213331
2021-01-03,10323.575354226796
2021-01-10,13535.71339831319
2021-01-17,15000.512850300656
2021-01-24,15409.778221832172
2021-01-31,12451.632426676788
2021-02-07,14060.608659372703
2021-02-14,15849.107895946589
2021-02-21,17596.869801551835
2021-02-28,15092.054724745441
2021-03-07,16023.704110422288
2021-03-14,14462.411265415018
2021-03-21,14494.553903485048
2021-03-28,18653.112144310922
2021-04-04,19809.25425069003
2021-04-11,16948.55638539412
2021-04-18,19023.065205494953
2021-04-25,17591.901650619115
2021-05-02,15362.847070668704
2021-05-09,17095.775056614148
2021-05-16,19108.949454432604
2021-05-23,15566.541858145365
2021-05-30,18324.449754961217
2021-06-06,9471.222426232904
2021-06-13,15836.184282672806
2021-06-20,13822.285361139942
2021-06-27,12488.539668086814
2021-07-04,12699.650585329071
2021-07-11,7970.5658662957885
2021-07-18,10944.723064177508
2021-07-25,11554.103933617265
2021-08-01,13277.333519586773
2021-08-08,8800.555184635634
2021-08-15,7777.076922364488
2021-08-22,7995.867655846392
2021-08-29,10490.078454322966
2021-09-05,9036.673703956549
2021-09-12,7104.108056458206
2021-09-19,9042.793521031936
2021-09-26,8133.836534657425
2021-10-03,9872.77385203352
2021-10-10,6600.091377238897
2021-10-17,7489.966619674202
2021-10-24,7572.960544824739
2021-10-31,5710.206104501969
2021-11-07,9574.095418209257
2021-11-14,9908.589061568788
2021-11-21,9855.903944661588
2021-11-28,9884.050386690704
2021-12-05,8071.449107293232
2021-12-12,10643.749435385633
2021-12-19,11408.315226153827
2021-12-26,11115.34270544143
2022-01-02,13032.26728634541
2022-01-09,14797.881889099246
2022-01-16,18388.304962568527
2022-01-23,15573.79296410216
2022-01-30,16322.587609406302
2022-02-06,16207.560934381501
2022-02-13,13026.457957380086
2022-02-20,17270.171151247392
2022-02-27,17848.28297515678
2022-03-06,22998.9256435592
2022-03-13,17967.778638703538
2022-03-20,19167.48119115232
2022-03-27,18636.05631495075
2022-04-03,16436.837473148036
2022-04-10,21055.641612423537
2022-04-17,20197.284829923166
2022-04-24,20128.11284944866
2022-05-01,16511.73102512818
2022-05-08,20855.99182230822
2022-05-15,14906.593550754817
2022-05-22,18489.32747880452
2022-05-29,21253.49304979187
2022-06-05,14407.059338989726
2022-06-12,14737.203169555523
2022-06-19,15524.913309677593
2022-06-26,13757.02241562487
2022-07-03,11092.221524964512
2022-07-10,13760.24899994834
2022-07-17,10936.878767239032
2022-07-24,13464.483006702849
2022-07-31,10160.11631647484
2022-08-07,14614.383786056727
2022-08-14,9504.9768983171
2022-08-21,10032.678065442818
2022-08-28,11963.72800849687
2022-09-04,7594.862206607975
2022-09-11,10295.967688039253
2022-09-18,12307.963518208791
2022-09-25,6402.134321677597
2022-10-02,9982.17094287106
2022-10-09,10201.382508329154
2022-10-16,11386.35601126307
2022-10-23,7560.694784171597
2022-10-30,7673.742129436362
2022-11-06,11703.157350152609
2022-11-13,11657.867218514086
2022-11-20,12024.08208690713
2022-11-27,12723.540427273658
2022-12-04,11219.56050307578
2022-12-11,13626.966830077066
2022-12-18,14357.308560643445
2022-12-25,12968.61376267064
